date,participant,movementBlock,trial,colourLeft,colourRight,fLeft,fRight,gratingOrientationLeft,gratingOrientationRight,t,greenButtonPressed,redButtonPressed,leftPupilSize,rightPupilSize,leftEyeX,leftEyeY,rightEyeX,rightEyeY
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.308545,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.319493,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.330608,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.341794,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.352827,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.363976,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.375179,0,0,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.386274,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.397215,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.408746,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.419483,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.430567,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.441896,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.452815,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.463914,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.475154,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.486151,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.49717,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.508346,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.519471,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.530565,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.541652,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.553855,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.564154,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.574947,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.586125,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.598731,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.608345,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.619781,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.630623,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.642512,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.652698,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.663942,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.674871,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.686089,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.697177,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.708182,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.719536,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.730483,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.741501,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.752604,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.763689,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.774804,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.78597,0,1,0,0,0,0,0,0
26/11/2019,Brian,stationary,1,green,red,0.8,3.2,horizontal,vertical,1.797366,0,1,0,0,0,0,0,0
