date,movementBlock,trial,colourLeft,colourRight,fLeft,fRight,gratingOrientationLeft,gratingOrientationRight,t,greenButtonPressed,redButtonPressed,leftPupilSize,rightPupilSize,leftEyeX,leftEyeY,rightEyeX,rightEyeY
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.564282,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.575567,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.586479,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.597558,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.608764,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.619732,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.630894,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.642141,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.653049,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.664268,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.676011,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.686396,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.697465,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.708741,0,1,0,0,0,0,0,0
2019-12-18,stationary,1,green,red,3.2,0.8,horizontal,vertical,2.719821,0,1,0,0,0,0,0,0
